vandalism,03/24/2012 01:30:00 PM,Saturday,42.27160636,-71.1180795
val,03/24/2012 01:30:00 PM,Saturday,42.29195636,-71.0658145
aggravated assault,03/24/2012 01:30:00 PM,Saturday,42.28183167,-71.0839989
harbor,03/24/2012 01:30:00 PM,Saturday,42.36351005,-71.0513660
val,03/24/2012 01:40:00 PM,Saturday,42.34805135,-71.0881395
other larceny,03/24/2012 01:42:00 PM,Saturday,42.32059263,-71.0896335
propfound,03/24/2012 01:45:00 PM,Saturday,42.28714136,-71.1485745
mvacc,03/24/2012 01:45:00 PM,Saturday,42.33960135,-71.0553295
simple assault,03/24/2012 02:00:00 PM,Saturday,42.32192837,-71.0977180
medassist,03/24/2012 02:00:00 PM,Saturday,42.34045635,-71.0755845
proplost,03/24/2012 02:00:00 PM,Saturday,42.35914134,-71.0548895
proplost,03/24/2012 02:23:00 PM,Saturday,42.36397134,-71.0510595
mvacc,03/24/2012 02:35:00 PM,Saturday,42.28583636,-71.0693395
medassist,03/24/2012 02:40:00 PM,Saturday,42.34923635,-71.0803695
persloc,03/24/2012 02:40:00 PM,Saturday,42.33774635,-71.0690545
invper,03/24/2012 02:44:00 PM,Saturday,42.27859636,-71.1714495
val,03/24/2012 02:54:00 PM,Saturday,42.38612134,-71.0108495
persloc,03/24/2012 02:56:00 PM,Saturday,42.31274135,-71.0756495
fraud,03/24/2012 03:00:00 PM,Saturday,0E-8,0E-
invprop,03/24/2012 03:00:00 PM,Saturday,42.36552135,-71.0612195
residential burglary,03/24/2012 03:00:00 PM,Saturday,42.29740215,-71.0852567
landlord,03/24/2012 03:00:00 PM,Saturday,42.28355636,-71.0563395
robbery,03/24/2012 03:08:00 PM,Saturday,42.33930135,-71.0803195
service,03/24/2012 03:16:00 PM,Saturday,42.26325515,-71.1069979
other larceny,03/24/2012 03:18:00 PM,Saturday,42.28405295,-71.1124107
other larceny,03/24/2012 03:30:00 PM,Saturday,42.31700135,-71.0650895
propfound,03/24/2012 03:44:00 PM,Saturday,42.25614637,-71.1307445
larceny from motor vehicle,03/24/2012 03:45:00 PM,Saturday,42.24836637,-71.1125395
aggravated assault,03/24/2012 04:00:00 PM,Saturday,42.31508135,-71.0974645
fraud,03/24/2012 04:14:00 PM,Saturday,42.32543556,-71.0638730
larceny from motor vehicle,03/24/2012 04:15:00 PM,Saturday,42.31957193,-71.0927059
drug charges,03/24/2012 04:20:00 PM,Saturday,42.28405295,-71.1124107
invprop,03/24/2012 04:24:00 PM,Saturday,42.31692434,-71.0671752
32gun,03/24/2012 04:29:00 PM,Saturday,42.27208636,-71.0972245
other larceny,03/24/2012 04:30:00 PM,Saturday,42.33267635,-71.1095545
other larceny,03/24/2012 04:30:00 PM,Saturday,42.34923635,-71.0803695
commercial burglary,03/24/2012 04:30:00 PM,Saturday,42.35280082,-71.0609641
vandalism,03/24/2012 04:45:00 PM,Saturday,42.31784135,-71.0762845
